,Function,Taylor Expression
5832,0.5*sin(x) + 2*cos(x),x**4/12 - 0.0833333333333333*x**3 - x**2 + 0.5*x + 2
5833,2*exp(x)*sin(x),2*x*(x**2 + 3*x + 3)/3
5834,log(x + 1)**2 - 1.0*log(x + 1)*cos(x) + 0.25*cos(x)**2,1.0*x**4 - 0.833333333333333*x**3 + 1.25*x**2 - 1.0*x + 0.25
5835,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
5836,exp(1.5*x*sqrt(x**2 + 1)),1.3359375*x**4 + 1.3125*x**3 + 1.125*x**2 + 1.5*x + 1
5837,sqrt(x**2 + 1) + 3*cos(x),4 - x**2
5838,log(4*x**2 + 5),-8*x**4/25 + 4*x**2/5 + log(5)
5839,x**2*sin(x),x**3
5840,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
5841,9*x**2,9*x**2
5842,sin(x**3 + 2*exp(x)),-x**4*(23*cos(2) + 30*sin(2))/12 - 2*x**3*sin(2) + x**2*(-2*sin(2) + cos(2)) + 2*x*cos(2) + sin(2)
5843,sin(2*exp(x)),-x**4*(23*cos(2) + 6*sin(2))/12 - x**3*(cos(2) + 2*sin(2)) + x**2*(-2*sin(2) + cos(2)) + 2*x*cos(2) + sin(2)
5844,exp(2*x) - 6*exp(x)*sin(x) + 9*sin(x)**2,-7*x**4/3 - 2*x**3/3 + 5*x**2 - 4*x + 1
5845,0.5*x,0.5*x
5846,log(4*sin(x)**2 + 1),x**2*(4 - 28*x**2/3)
5847,-2*log(x + 1) + 0.5*cos(x),0.520833333333333*x**4 - 0.666666666666667*x**3 + 0.75*x**2 - 2.0*x + 0.5
5848,-3*exp(x)*log(x + 1),x*(-2*x**2 - 3*x - 6)/2
5849,cos(0.5*sin(x)),0.0442708333333333*x**4 - 0.125*x**2 + 1
5850,log(0.25*x**2 + 1),x**2*(0.25 - 0.03125*x**2)
5851,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
5852,-0.5*x,-0.5*x
5853,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
5854,-9*x**3,-9*x**3
5855,log(4*x**4 + 8*x**2*exp(x) + 4*exp(2*x) + 1),-1312*x**4/1875 - 136*x**3/125 + 48*x**2/25 + 8*x/5 + log(5)
5856,2*x,2*x
5857,-sin(x),x**3/6 - x
5858,sin(3*log(x + 1)),x*(12*x**3 - 7*x**2 - 3*x + 6)/2
5859,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
5860,-2*x,-2*x
5861,-6*x*log(x + 1),x**2*(-2*x**2 + 3*x - 6)
5862,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
5863,-2*x**3,-2*x**3
5864,-exp(x) + 3*log(x + 1),-19*x**4/24 + 5*x**3/6 - 2*x**2 + 2*x - 1
5865,cos(3*sin(x)),39*x**4/8 - 9*x**2/2 + 1
5866,4*x**4,4*x**4
5867,sqrt(x**2 + 1)*sin(x),x**3/3 + x
5868,cos(0.5*x),0.00260416666666667*x**4 - 0.125*x**2 + 1
5869,0.5*exp(x)*cos(x),-0.0833333333333333*x**4 - 0.166666666666667*x**3 + 0.5*x + 0.5
5870,x**2 + 1,x**2 + 1
5871,log(9*x**4 - 18*x**2*sin(x) + 9*sin(x)**2 + 1),x**2*(-69*x**2/2 - 18*x + 9)
5872,cos(x**2),1 - x**4/2
5873,sin(x)**2 + 6*sin(x)*cos(x) + 9*cos(x)**2,8*x**4/3 - 4*x**3 - 8*x**2 + 6*x + 9
5874,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
5875,cos(0.5*x**2 + log(x + 1)),-0.291666666666667*x**4 - x**2/2 + 1
5876,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
5877,-0.5*x*sqrt(x**2 + 1),x*(-0.25*x**2 - 0.5)
5878,0.5*sqrt(x**2 + 1)*log(x + 1),x*(-0.25*x**3 + 0.416666666666667*x**2 - 0.25*x + 0.5)
5879,9*cos(x)**2,3*x**4 - 9*x**2 + 9
5880,-x**2 - 2*cos(x),-x**4/12 - 2
5881,log(4*exp(2*x)*cos(x)**2 + 1),268*x**4/1875 - 56*x**3/125 - 12*x**2/25 + 8*x/5 + log(5)
5882,-2*x**3*cos(x),-2*x**3
5883,-4*exp(x)*cos(x),2*x**4/3 + 4*x**3/3 - 4*x - 4
5884,-1.5*x**3,-1.5*x**3
5885,-1.0*x**4,-1.0*x**4
5886,4*x**6 + 12*x**5 + 9*x**4,9*x**4
5887,2*x**2 - 2*sqrt(x**2 + 1),x**4/4 + x**2 - 2
5888,4*x**2*sqrt(x**2 + 1),2*x**2*(x**2 + 2)
5889,cos(cos(x)),-x**4*(sin(1) + 3*cos(1))/24 + x**2*sin(1)/2 + cos(1)
5890,cos(2*sqrt(x**2 + 1) - 0.5*cos(x)),0.214891453402372*x**4 - 1.24686873325507*x**2 + 0.0707372016677029
5891,-0.5*x**2 - 2*exp(x),-x**4/12 - x**3/3 - 1.5*x**2 - 2*x - 2
5892,cos(x),x**4/24 - x**2/2 + 1
5893,exp(0.5*x**2),0.125*x**4 + 0.5*x**2 + 1
5894,exp(-2*exp(x)*log(x + 1)),x**4/2 + x**2 - 2*x + 1
5895,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
5896,x**3,x**3
5897,x**2 + 2*cos(x),x**4/12 + 2
5898,0.5*x,0.5*x
5899,exp(2*x**2),2*x**4 + 2*x**2 + 1
5900,x**4,x**4
5901,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
5902,x**2,x**2
5903,sin(0.25*sqrt(x**2 + 1)*cos(x)),0.247403959254523 - 0.0807427018092204*x**4
5904,6*x**3*sin(x),6*x**4
5905,-1.5*sin(x)*cos(x),x*(1.0*x**2 - 1.5)
5906,-cos(x),-x**4/24 + x**2/2 - 1
5907,0.5*x*sin(x),x**2*(0.5 - 0.0833333333333333*x**2)
5908,-6*x,-6*x
5909,1.5*sqrt(x**2 + 1)*sin(x),x*(0.5*x**2 + 1.5)
5910,exp(-sqrt(x**2 + 1))*exp(-0.5*cos(x)),(0.135416666666667*x**4 - 0.25*x**2 + 1)*exp(-3/2)
5911,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
5912,cos(x),x**4/24 - x**2/2 + 1
5913,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
5914,3*cos(x),x**4/8 - 3*x**2/2 + 3
5915,cos(2*cos(x)),-x**4*(6*cos(2) + sin(2))/12 + x**2*sin(2) + cos(2)
5916,3.5*x**2,3.5*x**2
5917,-3*sqrt(x**2 + 1) + log(x + 1),x**4/8 + x**3/3 - 2*x**2 + x - 3
5918,-0.5*x**3 - 2*sin(x),x*(-0.166666666666667*x**2 - 2)
5919,2*x**3,2*x**3
5920,-0.5*x**2 - 0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.75*x**2 - 0.5*x - 0.5
5921,2*x**3 - exp(x),-x**4/24 + 11*x**3/6 - x**2/2 - x - 1
5922,3*x**3 - 0.5*sin(x),x*(3.08333333333333*x**2 - 0.5)
5923,-sin(sqrt(x**2 + 1)),sqrt(2)*x**4*sin(pi/4 + 1)/8 - x**2*cos(1)/2 - sin(1)
5924,exp(-2*exp(x)),(-x**4/4 + x**3/3 + x**2 - 2*x + 1)*exp(-2)
5925,-0.5*exp(x)*sin(x),x*(-0.166666666666667*x**2 - 0.5*x - 0.5)
5926,-1.5*x**4,-1.5*x**4
5927,-2*x*exp(x),x*(-x**3 - 3*x**2 - 6*x - 6)/3
5928,-sin(0.5*x**2*exp(x)),x**2*(-0.25*x**2 - 0.5*x - 0.5)
5929,-2*exp(x) - cos(x),-x**4/8 - x**3/3 - x**2/2 - 2*x - 3
5930,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
5931,4*x*sin(x),2*x**2*(6 - x**2)/3
5932,4.25*x**2 - 2.0*x*sqrt(x**2 + 1) + 4,-1.0*x**3 + 4.25*x**2 - 2.0*x + 4
5933,-2*log(x + 1) - 0.5*sin(x),x*(x**3 - 1.16666666666667*x**2 + 2*x - 5.0)/2
5934,3*sqrt(x**2 + 1)*cos(x),3 - x**4
5935,-2*x**3*log(x + 1),-2*x**4
5936,x**2*sqrt(x**2 + 1),x**4/2 + x**2
5937,9*x**4*cos(x)**2,9*x**4
5938,x**3 + 0.5*sin(x),x*(0.916666666666667*x**2 + 0.5)
5939,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
5940,-sin(4*exp(x)*sin(x)),4*x*(24*x**3 + 7*x**2 - 3*x - 3)/3
5941,-6*log(x + 1)*sin(x),x**2*(-x**2 + 3*x - 6)
5942,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
5943,4*log(x + 1)**2*sin(x)**2,4*x**4
5944,log(x**2*cos(x)**2 + 1),-3*x**4/2 + x**2
5945,x**2*exp(2*exp(x)) + 2*x*exp(2*exp(x)) + exp(2*exp(x)),(171*x**4 + 140*x**3 + 96*x**2 + 48*x + 12)*exp(2)/12
5946,-2*sin(x),x*(x**2 - 6)/3
5947,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
5948,exp(-3*sqrt(x**2 + 1)),(3*x**4 - 3*x**2 + 2)*exp(-3)/2
5949,cos(3*cos(x)**2),-x**4*sin(3) - 9*x**4*cos(3)/2 + 3*x**2*sin(3) + cos(3)
5950,exp(2*cos(x)),(7*x**4/12 - x**2 + 1)*exp(2)
5951,2*x**2 - exp(x),-x**4/24 - x**3/6 + 3*x**2/2 - x - 1
5952,cos(3*x**3 + sin(x)),-67*x**4/24 - x**2/2 + 1
5953,-1.0*x*log(x + 1),x**2*(-0.333333333333333*x**2 + 0.5*x - 1.0)
5954,-2*x**3*cos(x),-2*x**3
5955,exp(-2*sqrt(x**2 + 1)),(3*x**4/4 - x**2 + 1)*exp(-2)
5956,-3*x,-3*x
5957,-3*x**3,-3*x**3
5958,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
5959,6*sqrt(x**2 + 1)*log(x + 1),x*(-3*x**3 + 5*x**2 - 3*x + 6)
5960,cos(exp(x)),x**4*(-6*cos(1) + 5*sin(1))/24 - x**3*cos(1)/2 - sqrt(2)*x**2*sin(pi/4 + 1)/2 - x*sin(1) + cos(1)
5961,-1.0*exp(x)*log(x + 1),x*(5.55111512312578e-17*x**3 - 0.333333333333333*x**2 - 0.5*x - 1.0)
5962,2*x**3,2*x**3
5963,-3*cos(x),-x**4/8 + 3*x**2/2 - 3
5964,4*x**3*sqrt(x**2 + 1),4*x**3
5965,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
5966,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
5967,-9*x**2,-9*x**2
5968,x**4,x**4
5969,3*x,3*x
5970,-1.0*sqrt(x**2 + 1)*exp(x),-0.166666666666667*x**4 - 0.666666666666667*x**3 - 1.0*x**2 - 1.0*x - 1.0
5971,-2*sin(x),x*(x**2 - 6)/3
5972,cos(0.5*x + exp(x)),0.349622790864288*x**4 - 0.0721444645813125*x**3 - 1.02857558650561*x**2 - 1.26220647721184*x + 0.54030230586814
5973,-3*sqrt(x**2 + 1) - 2*log(x + 1),7*x**4/8 - 2*x**3/3 - x**2/2 - 2*x - 3
5974,cos(4*sin(x)*cos(x)),64*x**4/3 - 8*x**2 + 1
5975,3*x**3*sin(x),3*x**4
5976,-2*sin(x),x*(x**2 - 6)/3
5977,-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
5978,-4*x*log(x + 1),x**2*(-4*x**2/3 + 2*x - 4)
5979,-0.5*x**2 - 3*sqrt(x**2 + 1),0.375*x**4 - 2.0*x**2 - 3.0
5980,sin(2*exp(x) - 3*sin(x)),x**4*(-10*cos(2) + 9*sin(2))/24 + sqrt(2)*x**3*sin(pi/4 + 2) + x**2*(-sin(2) + 2*cos(2))/2 - x*cos(2) + sin(2)
5981,x**2 + 2*sin(x),x*(-x**2 + 3*x + 6)/3
5982,sin(1.0*x**3*sin(x)),1.0*x**4
5983,-0.5*x - 2*sqrt(x**2 + 1),x**4/4 - x**2 - 0.5*x - 2
5984,log(0.25*x**2*sin(x)**2 + 1),0.25*x**4
5985,cos(2*sqrt(x**2 + 1) + 2*sin(x)),x**4*(10*cos(2) + 27*sin(2))/12 + x**3*(-6*cos(2) + 5*sin(2))/3 - x**2*(2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
5986,x + 1,x + 1
5987,1.0*sin(x)*cos(x),x*(1.0 - 0.666666666666667*x**2)
5988,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
5989,exp(-0.5*x**3)*exp(-2*sqrt(x**2 + 1)),0.25*(3.0*x**4 - 2.0*x**3 - 4.0*x**2 + 4.0)*exp(-2)
5990,exp(-2*sqrt(x**2 + 1)),(3*x**4/4 - x**2 + 1)*exp(-2)
5991,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
5992,1.0*x**2*exp(x),x**2*(0.5*x**2 + 1.0*x + 1.0)
5993,exp(-0.5*log(x + 1)**2),-0.333333333333333*x**4 + 0.5*x**3 - 0.5*x**2 + 1
5994,-sin(1.0*x**3*log(x + 1)),-1.0*x**4
5995,3*sin(x)**2,x**2*(3 - x**2)
5996,-3*x**3*cos(x),-3*x**3
5997,-sin(sqrt(x**2 + 1) + 2*exp(x)),x**4*(73*cos(3) + 27*sin(3))/24 + x**3*(cos(3) + 3*sin(3)) + x**2*(4*sin(3) - 3*cos(3))/2 - 2*x*cos(3) - sin(3)
5998,exp(-sin(x)),-x**4/8 + x**2/2 - x + 1
5999,0.5*x**2 + 2*cos(x),x**4/12 - 0.5*x**2 + 2
6000,sin(6*x**2*exp(x)),3*x**2*(x**2 + 2*x + 2)
6001,6*log(x + 1)*cos(x),x*(-x**2 - 3*x + 6)
6002,-3*x**3,-3*x**3
6003,-sin(0.5*exp(x) - 3*cos(x)),-1.19849091464194*x**4 - 0.473591650119279*x**3 + 1.32719230919414*x**2 + 0.400571807773467*x + 0.598472144103956
6004,-x**3 - 2*log(x + 1),x*(3*x**3 - 10*x**2 + 6*x - 12)/6
6005,1.0*x**2*log(x + 1),x**3*(1.0 - 0.5*x)
6006,x**2,x**2
6007,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
6008,-3*sin(x)**2,x**2*(x**2 - 3)
6009,-3*sqrt(x**2 + 1)*sin(x),x*(-x**2 - 3)
6010,log(16*x**2*sin(x)**2 + 16*sin(x)**2 + 1),x**2*(16 - 352*x**2/3)
6011,exp(2*x**2)*exp(3*sin(x)),103*x**4/8 + 10*x**3 + 13*x**2/2 + 3*x + 1
6012,-x**3,-x**3
6013,0.5*exp(x) + cos(x),0.0625*x**4 + 0.0833333333333333*x**3 - 0.25*x**2 + 0.5*x + 1.5
6014,-3*log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/2
6015,1.5*x*sin(x),x**2*(1.5 - 0.25*x**2)
6016,exp(0.5*x**2)*exp(3*exp(x)),(16.0*x**4 + 11.0*x**3 + 6.5*x**2 + 3*x + 1)*exp(3)
6017,-3*x**2 + sqrt(x**2 + 1),-x**4/8 - 5*x**2/2 + 1
6018,9*log(x + 1)**2,x**2*(33*x**2/4 - 9*x + 9)
6019,cos(1.0*sin(x)**2),1 - 0.5*x**4
6020,x**4 + 4*x**2*log(x + 1) + 4*log(x + 1)**2,x**2*(8*x**2/3 + 4)
6021,4*sin(x)*cos(x),-8*x**3/3 + 4*x
6022,x + 1,x + 1
6023,0.5*x,0.5*x
6024,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
6025,sin(3*log(x + 1)*sin(x)),x**2*(x**2 - 3*x + 6)/2
6026,-3*x**2,-3*x**2
6027,exp(4*x*sqrt(x**2 + 1)),56*x**4/3 + 38*x**3/3 + 8*x**2 + 4*x + 1
6028,x**3 + exp(x),x**4/24 + 7*x**3/6 + x**2/2 + x + 1
6029,0.5*x - 2*log(x + 1),x*(0.5*x**3 - 0.666666666666667*x**2 + 1.0*x - 1.5)
6030,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
6031,-sin(2.5*x**3),-2.5*x**3
6032,x*sqrt(x**2 + 1),x**3/2 + x
6033,cos(1.5*x**2*exp(x)),1 - 1.125*x**4
6034,cos(3*exp(x)),x**4*(6*cos(3) + 53*sin(3))/8 + x**3*(8*sin(3) - 9*cos(3))/2 - 3*x**2*(3*cos(3) + sin(3))/2 - 3*x*sin(3) + cos(3)
6035,exp(-1.0*cos(x)**2),(0.166666666666667*x**4 + 1.0*x**2 + 1)*exp(-1)
6036,16*x**2,16*x**2
6037,exp(2*x**2*cos(x)),x**4 + 2*x**2 + 1
6038,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
6039,cos(3*sqrt(x**2 + 1) + 2*cos(x)),x**4*(7*sin(5) - 3*cos(5))/24 - x**2*sin(5)/2 + cos(5)
6040,sin(x) + 2*cos(x),x**4/12 - x**3/6 - x**2 + x + 2
6041,cos(1.5*x**2*cos(x)),1 - 1.125*x**4
6042,1.0*exp(x)*sin(x),x*(0.333333333333333*x**2 + 1.0*x + 1.0)
6043,-sin(2*x**2),-2*x**2
6044,2*x**3*sqrt(x**2 + 1),2*x**3
6045,-3*sqrt(x**2 + 1),3*x**4/8 - 3*x**2/2 - 3
6046,0.5*exp(x)*cos(x),-0.0833333333333333*x**4 - 0.166666666666667*x**3 + 0.5*x + 0.5
6047,2*cos(x),x**4/12 - x**2 + 2
6048,-1.0*log(x + 1)*sin(x),x**2*(-0.166666666666667*x**2 + 0.5*x - 1.0)
6049,2*x**2,2*x**2
6050,log(4*exp(2*x) + 2.0*exp(x)*log(x + 1) + 0.25*log(x + 1)**2 + 1),-0.0320833333333335*x**4 + 0.116666666666666*x**3 - 0.15*x**2 + 2.0*x + log(5)
6051,-2*x**2,-2*x**2
6052,exp(-3*x**2),9*x**4/2 - 3*x**2 + 1
6053,log(9*x**2 + 12*sqrt(x**2 + 1)*log(x + 1) + 4*log(x + 1)**2 + 10),-10631*x**4/15000 + 42*x**3/125 - x**2/50 + 6*x/5 + log(10)
6054,3*x**3 + log(x + 1),x*(-3*x**3 + 40*x**2 - 6*x + 12)/12
6055,log(4*exp(2*x) + 1),8*x**4/1875 - 16*x**3/125 + 8*x**2/25 + 8*x/5 + log(5)
6056,0.5*sqrt(x**2 + 1) + exp(x),-0.0208333333333333*x**4 + x**3/6 + 0.75*x**2 + x + 1.5
6057,cos(x),x**4/24 - x**2/2 + 1
6058,3*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)/2
6059,-2*log(x + 1) + 3*sin(x),x*(x**3/2 - 7*x**2/6 + x + 1)
6060,-0.5*x**2,-0.5*x**2
6061,-2*x,-2*x
6062,cos(x),x**4/24 - x**2/2 + 1
6063,cos(0.5*exp(x) + 3*log(x + 1)),-1.8469561986143*x**4 + 6.74594103605836*x**3 - 4.77591126832328*x**2 - 1.67798938511471*x + 0.877582561890373
6064,exp(1.0*x*sin(x)),0.333333333333333*x**4 + 1.0*x**2 + 1
6065,9*sin(x)**2,3*x**2*(3 - x**2)
6066,-3*x**2 + log(x + 1),x*(-3*x**3 + 4*x**2 - 42*x + 12)/12
6067,cos(x),x**4/24 - x**2/2 + 1
6068,1.0*x**4,1.0*x**4
6069,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
6070,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
6071,2*x**2,2*x**2
6072,0.5*x**2,0.5*x**2
6073,-1.0*x*sin(x),x**2*(0.166666666666667*x**2 - 1.0)
6074,2*x**3,2*x**3
6075,-3*x,-3*x
6076,cos(3*x + 0.5*exp(x)),5.92792267139275*x**4 + 2.61805812473811*x**3 - 5.49504957622958*x**2 - 1.67798938511471*x + 0.877582561890373
6077,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
6078,cos(sqrt(x**2 + 1)),-sqrt(2)*x**4*cos(pi/4 + 1)/8 - x**2*sin(1)/2 + cos(1)
6079,cos(6*log(x + 1)*cos(x)),111*x**4/2 + 18*x**3 - 18*x**2 + 1
6080,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
6081,-0.5*x**2*sin(x),-0.5*x**3
6082,x,x
6083,2*log(x + 1) - sin(x),x*(-x**3/2 + 5*x**2/6 - x + 1)
6084,6*exp(x)*log(x + 1),x*(2*x**2 + 3*x + 6)
6085,3*sin(x),x*(6 - x**2)/2
6086,2.25*x**2*cos(x)**2,2.25*x**2*(1 - x**2)
6087,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
6088,-3*exp(2*x),-2*x**4 - 4*x**3 - 6*x**2 - 6*x - 3
6089,-6*x**3*sqrt(x**2 + 1),-6*x**3
6090,-sin(3*x**2*cos(x)),3*x**2*(x**2 - 2)/2
6091,log(4*exp(2*x) + 4*exp(x)*sin(x) + sin(x)**2 + 1),2131*x**4/3750 - 112*x**3/375 - 7*x**2/25 + 12*x/5 + log(5)
6092,-0.5*x**2 + 0.5*sqrt(x**2 + 1),-0.0625*x**4 - 0.25*x**2 + 0.5
6093,log(9*x**2*exp(2*x) + 9*exp(2*x) + 1),-2607*x**4/5000 + 21*x**3/250 + 27*x**2/25 + 9*x/5 + log(10)
6094,sin(3*exp(x) - 2*sin(x)),-x**4*(15*cos(3) + 46*sin(3))/24 + x**3*(4*cos(3) - 9*sin(3))/6 + x**2*(3*cos(3) - sin(3))/2 + x*cos(3) + sin(3)
6095,log(1.0*x**2 + 1),x**2*(1.0 - 0.5*x**2)
6096,-x**3,-x**3
6097,exp(-5*x**3),1 - 5*x**3
6098,4*x**4,4*x**4
6099,x*sin(x),-x**4/6 + x**2
6100,log(9*x**2*sin(x)**2 + 9*sin(x)**2 + 1),x**2*(9 - 69*x**2/2)
6101,-2*x**2,-2*x**2
6102,0.25*x**2*cos(x),x**2*(0.25 - 0.125*x**2)
6103,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
6104,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
6105,-0.25*exp(x)*cos(x),0.0416666666666667*x**4 + 0.0833333333333333*x**3 - 0.25*x - 0.25
6106,2*x,2*x
6107,9*x**2 - 18*sqrt(x**2 + 1)*exp(x) + 9*exp(2*x) + 9,3*x**2*(x**2 + 3)
6108,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
6109,sin(1.5*x*exp(x)),x*(-1.4375*x**3 + 0.1875*x**2 + 1.5*x + 1.5)
6110,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
6111,log(4*x**6 + 2.0*x**3*sqrt(x**2 + 1) + 0.25*x**2 + 1.25),-0.02*x**4 + 1.6*x**3 + 0.2*x**2 + 0.22314355131421
6112,x**2 + cos(x),x**4/24 + x**2/2 + 1
6113,0.5*x**3 - 0.5*log(x + 1),x*(0.125*x**3 + 0.333333333333333*x**2 + 0.25*x - 0.5)
6114,-sin(1.5*exp(x)*sin(x)),x*(1.6875*x**3 + 0.0625*x**2 - 1.5*x - 1.5)
6115,-0.5*sqrt(x**2 + 1) - 2*exp(x),-0.0208333333333333*x**4 - x**3/3 - 1.25*x**2 - 2*x - 2.5
6116,log(9*cos(x)**2 + 1),-21*x**4/200 - 9*x**2/10 + log(10)
6117,log(0.25*x**6 + 0.25*x**4 + 1),0.25*x**4
6118,x - log(x + 1),x**2*(3*x**2 - 4*x + 6)/12
6119,2*x*log(x + 1),x**2*(2*x**2/3 - x + 2)
6120,9*x**4 - 12*x**2*sin(x) + 4*sin(x)**2,x**2*(23*x**2 - 36*x + 12)/3
6121,-0.5*x**2,-0.5*x**2
6122,log(4*exp(2*x) + 1),8*x**4/1875 - 16*x**3/125 + 8*x**2/25 + 8*x/5 + log(5)
6123,-x**3 - 3*exp(x),-x**4/8 - 3*x**3/2 - 3*x**2/2 - 3*x - 3
6124,-0.5*x*sin(x),x**2*(0.0833333333333333*x**2 - 0.5)
6125,exp(2*sin(x)),x**3 + 2*x**2 + 2*x + 1
6126,-sin(1.0*exp(x)*log(x + 1)),x*(0.25*x**3 - 0.166666666666667*x**2 - 0.5*x - 1.0)
6127,x**2 + 0.5*sqrt(x**2 + 1),-0.0625*x**4 + 1.25*x**2 + 0.5
6128,2*cos(x),x**4/12 - x**2 + 2
6129,sin(0.5*x**2),0.5*x**2
6130,2*x**2,2*x**2
6131,log(2.25*log(x + 1)**2*cos(x)**2 + 1),x**2*(-2.71875*x**2 - 2.25*x + 2.25)
6132,cos(6*x*log(x + 1)),1 - 18*x**4
6133,2*x,2*x
6134,-3*x**2*log(x + 1),3*x**3*(x - 2)/2
6135,-3*sqrt(x**2 + 1) - 2*cos(x),7*x**4/24 - x**2/2 - 5
6136,exp(x**3)/(x**3 + 3*x**2 + 3*x + 1),12*x**4 - 9*x**3 + 6*x**2 - 3*x + 1
6137,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
6138,log(exp(2*x)*sin(x)**2 + 1),x**2*(7*x**2 + 12*x + 6)/6
6139,log(4*log(x + 1)**2 + 12*log(x + 1)*sin(x) + 9*sin(x)**2 + 1),x**2*(-1859*x**2 - 60*x + 150)/6
6140,log(9*x**6 - 12*x**4 + 4*x**2 + 1),x**2*(4 - 20*x**2)
6141,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
6142,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
6143,-0.5*x**3 - 3*sin(x),-3*x
6144,cos(2.5*exp(x)),2.43191432697343*x**4 + 3.81273161381157*x**3 + 1.75548361845422*x**2 - 1.49618036025989*x - 0.801143615546934
6145,-sin(x),x**3/6 - x
6146,0.5*sqrt(x**2 + 1),-0.0625*x**4 + 0.25*x**2 + 0.5
6147,-9*x**2*exp(x),9*x**2*(-x**2 - 2*x - 2)/2
6148,cos(3*x**2 + 2*exp(x)),x**4*(-96*cos(2) + 95*sin(2))/12 + x**3*(sin(2) - 8*cos(2)) - 2*x**2*(cos(2) + 2*sin(2)) - 2*x*sin(2) + cos(2)
6149,-1.5*cos(x),-0.0625*x**4 + 0.75*x**2 - 1.5
6150,log(36*x**4*cos(x)**2 + 1),36*x**4
6151,-2*x*sqrt(x**2 + 1),x*(-x**2 - 2)
6152,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
6153,16*x**6 + 16*x**4,16*x**4
6154,sin(sqrt(x**2 + 1)),-sqrt(2)*x**4*sin(pi/4 + 1)/8 + x**2*cos(1)/2 + sin(1)
6155,-3*exp(x)*sin(x),x*(-x**2 - 3*x - 3)
6156,-0.5*log(x + 1)*sin(x),x**2*(-0.0833333333333333*x**2 + 0.25*x - 0.5)
6157,exp(-0.5*x**3),1 - 0.5*x**3
6158,exp(cos(x))/(x + 1),E*(4*x**4 - 3*x**3 + 3*x**2 - 6*x + 6)/6
6159,-sin(log(x + 1)),x*(-x**2 + 3*x - 6)/6
6160,exp(6)*exp(6*x**2),(18*x**4 + 6*x**2 + 1)*exp(6)
6161,2*x + sqrt(x**2 + 1),-x**4/8 + x**2/2 + 2*x + 1
6162,log(9*x**4 + 1),9*x**4
6163,2*x,2*x
6164,-3*x**3,-3*x**3
